questionText,questionType,answerText,answerType,answerHelpfulness,Helpfulness_Target
Can you use this foot pump or exercise balls,descriptive,"I've never tried it on exercise balls, but I used it on an air mattress.  It's good for pumping air faster than a bicycle pump, but if you need more pressure, you might need to use a bicycle pump instead.  I'm not sure how much pressure this can handle, or how much pressure an exercise ball needs.",NA,"[0, 1]",0
What areDimensions?,descriptive,Puzzle is 53 x 74 inches,NA,"[1, 2]",0
"What is the best surface to build the whole thing on? custom 5x7 board? 5000 piece puzzles will fit on 4x8 but this is too big, please help!",descriptive,"Unfortunately I have not been able to start on this puzzle yet, so I have no advice on what surface would be the best solution for this.",NA,"[0, 2]",0
"What is the best surface to build the whole thing on? custom 5x7 board? 5000 piece puzzles will fit on 4x8 but this is too big, please help!",descriptive,Google the puzzles dimensions...,NA,"[0, 5]",0
"I want to use these with a magnetic sudoku board. Can someone tell me how many of each number there are, and confirm they go from 0 through 9?",descriptive,"There are seven of each number 0 through 9 in addition to six plus signs, six minus signs, six multiplication signs (x), one less than, one greater than, two dollar signs ($), two division signs, two periods and four equals signs.",NA,"[2, 2]",1
Are the pieces made of wood?  Quality?,descriptive,"Yes they are but not really heavy wood pieces....height as described and a half decent set for the price but, as I mentioned in my review, the squares are not 2"" as described (11/2)....the wood in the board does not appear to have any stain or protective covering such as varnish; a little rough to the touch but, for the price, I was not expecting anything too ""rich"" in the wood...hope this helps.Sandra",NA,"[2, 2]",1
Does the puppet have a rod/wand you can move its hand with?,descriptive,Yes it does. It is also removable from hand. Strong velcro on wand and inside hand secure the wand.,NA,"[2, 2]",1
I want to tumbler little pieces of stained glass to use in mosaics. Looking at the lortone tumbler. Do i need beeds or grit to smooth the edges?,descriptive,"I tumbler glass all the time in my tumbler using coarse grit only.  I'll usually start a load before I go to bed and by the time I get up (7-8 hrs. later), my ordinary glass looks just like beautiful old sea glass.  You could probably achieve the degree of weathering you want just by decreasing the time.  Hope this helps!",NA,"[2, 2]",1
I want to tumbler little pieces of stained glass to use in mosaics. Looking at the lortone tumbler. Do i need beeds or grit to smooth the edges?,descriptive,"Sorry, I polish rocks exclusively, so I do not know.",NA,"[0, 2]",0
Is this good to polish stones for jewelry,descriptive,I have not used this product yet.,NA,"[0, 3]",0
Can we use it to tumble glass?,descriptive,"I do..works great. make sure you use water, or the glass powder will be BAD.",NA,"[3, 3]",1
Can we use it to tumble glass?,descriptive,"Never tried it---but, don't know why it wouldn't work.  Works great!",NA,"[1, 2]",0
Can we use it to tumble glass?,descriptive,The tumbler is very sturdy I don't see why not.,NA,"[1, 2]",0
Can we use it to tumble glass?,descriptive,"I am not a master at tumbling, but I would think small pieces of glass (think small rock size) will work good. I would think you would need to run with the fine grit a little longer than normal.",NA,"[1, 2]",0
Can we use it to tumble glass?,descriptive,I believe it's not possible.But i cant confirm it.,NA,"[0, 1]",0
Can we use it to tumble glass?,descriptive,"Ive never tumbled glass, but from the instruction, and what I read on line I believe you can.",NA,"[0, 1]",0
Can we use it to tumble glass?,descriptive,"Give it a try...glass is sand (in a liquid form).  It's should be thick, however. I've read the other 6 answers...looks like we all agree!",NA,"[0, 2]",0
Can we use it to tumble glass?,descriptive,I bought this at Christmas 2012.  I have not tried to tumble glass but the barrel seems solid enough that you could.  Hope this helps a little!,NA,"[0, 2]",0
Can we use it to tumble glass?,descriptive,"I bought this Christmas 2012.  I have not tried to tumble glass, but the barrel seems solid enough to try it.  Hope this helps a little!",NA,"[0, 2]",0
"Which species of animals are included? I can see giraffe, rhino, ostrich, gorilla, tiger, elephant, what are the other 6?",descriptive,"Zebra, hippo, cheetah, lion, tiger, rhino, elephant, giraffe, ostrich, gorilla, and the last 2 are like a ram and elk or deer or something.",NA,"[4, 4]",1
"Which species of animals are included? I can see giraffe, rhino, ostrich, gorilla, tiger, elephant, what are the other 6?",descriptive,The 2 questionable ones are actually in the product picture in the middle. My son Loves these animals.,NA,"[3, 3]",1
"Which species of animals are included? I can see giraffe, rhino, ostrich, gorilla, tiger, elephant, what are the other 6?",descriptive,"Those two animals are a wildebeest and a springbok.  These are obviously African animals, and despite the title, not all are jungle dwellers. Just so you know.  ;)",NA,"[2, 2]",1
Which are the dolls that come with the set? The old chunky ones or the new ones? The photos show both so I would like to know.,descriptive,The old chunky ones.  Cute airplane for young preschoolers. Great sounds.,NA,"[2, 2]",1
Can I use an air pump to inflate? Don't really want to blow this up with my lungs.,descriptive,I don't know.  I blew it up and it was a piece of cake.  Not a lot of work since the blow up part isn't that much.,NA,"[2, 2]",1
What are the dimensions of the puzzle space?,descriptive,"THE DIMENSIONS FOR THE PUZZLE SPACE ARE 32"" X 21.75""",NA,"[9, 9]",1
What are the dimensions of the puzzle space?,descriptive,22x62 which includes the extensions,NA,"[5, 5]",1
What are the dimensions of the puzzle space?,descriptive,"sorry I no longer have the porta puzzle so I cannot tell you, but it was large enough for a 24 x 30 inch puzzxle I am sure",NA,"[2, 7]",0
Is this actually a rigid board or more of a floppy mat?,descriptive,It's actually several rigid boards. You are able to arrange pieces in the middle and on two side pieces and then pick up those side pieces to place them atop the middle area before folding the wings in. It's really very cool.,NA,"[2, 2]",1
Is this actually a rigid board or more of a floppy mat?,descriptive,The main area is very sturdy. Then there are two work area pads that are more flexible so when moving those I keep two hands on them. I love this puzzle keeper. Lots of room for most puzzles and easy clean up and then I slide it under the couch and no one knows I've been puzzling.,NA,"[2, 2]",1
Age?,descriptive,"I bought it for my nephew who is 10, but he was too old for it I think.  My 3 year old granddaughter got a kick out of it for a brief period, but you can't really tell what people are saying when they use it.  I think it's probably best for 4 to 8 year olds.",NA,"[3, 3]",1
Age?,descriptive,It was given and used by a 7yr old boy. But most of the adults also had to play with it. :),NA,"[2, 2]",1
Age?,descriptive,5,NA,"[0, 1]",0
What is height of stroller and would the height be ok for a 2 year old?,descriptive,"I bought this for my daughter's 2nd birthday and it was just fine. My daughter is a bit on the taller side, but I think for most two year olds this would work well. The height from the floor to the curve of the handle is about 26"". So if her eye level is over 26-27"" it will work great. Hope that helps!",NA,"[2, 2]",1
